,Parameter_B,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Credits,,,,Year
44,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,CH4,4.707,g/lb,,2.393,2.314,,,,,,2022
45,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,N2O,0.006,g/lb,,0.002,0.004,,,,,,2022
46,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,CO2,1012.0,g/lb,,97.0,915.0,,,,,,2022
47,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban emissions,,,,,,,,,,,2022
48,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban VOC,0.034999999999999996,g/lb,,0.013,0.022,,,,,,2022
49,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban CO,0.079,g/lb,,0.013,0.066,,,,,,2022
50,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban NOx,0.23,g/lb,,0.035,0.195,,,,,,2022
51,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban PM10,0.013000000000000001,g/lb,,0.005,0.008,,,,,,2022
52,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban PM2.5,0.009000000000000001,g/lb,,0.003,0.006,,,,,,2022
53,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban SOx,0.102,g/lb,,0.029,0.073,,,,,,2022
54,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban BC,0.0,g/lb,,0.0,0.0,,,,,,2022
55,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Urban OC,0.0,g/lb,,0.0,0.0,,,,,,2022
56,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,Energy Use: mmBtu/ton of product,0.0,,,,,,,,,,2022
57,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Total Energy,88.85132969268614,mmBtu/ton,,,,,,,,,2022
58,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Fossil Fuels,88.86521111052464,mmBtu/ton,,,,,,,,,2022
59,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Coal,-0.024571660163605444,mmBtu/ton,,,,,,,,,2022
60,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Natural Gas,85.74078734187667,mmBtu/ton,,,,,,,,,2022
61,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Petroleum,3.148995428811568,mmBtu/ton,,,,,,,,,2022
62,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,"Water consumption, gallons/ton",2657.4029738880636,gallon/ton,,,,,,,,,2022
63,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,Total Emissions: grams/ton,0.0,,,,,,,,,,2022
64,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     VOC,2920.6484211398447,g/ton,,,,,,,,,2022
65,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO,4472.49477315568,g/ton,,,,,,,,,2022
66,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     NOx,33075.826210446714,g/ton,,,,,,,,,2022
67,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM10,283.678365679408,g/ton,,,,,,,,,2022
68,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM2.5,266.78075469053886,g/ton,,,,,,,,,2022
69,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     SOx,1681.1090746992627,g/ton,,,,,,,,,2022
70,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     BC,37.88381034325254,g/ton,,,,,,,,,2022
71,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     OC,98.42930847804406,g/ton,,,,,,,,,2022
72,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CH4,20250.44615117459,g/ton,,,,,,,,,2022
73,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     N2O,15818.813875630794,g/ton,,,,,,,,,2022
74,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO2,3780350.7094594357,g/ton,,,,,,,,,2022
75,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO2 (w/ C in VOC & CO),3796481.6031107567,g/ton,,,,,,,,,2022
76,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     GHGs (grams/ton),8718481.086462967,g/ton,,,,,,,,,2022
77,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,Urban Emissions: grams/ton,0.0,,,,,,,,,,2022
78,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     VOC,238.60182856013472,g/ton,,,,,,,,,2022
79,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO,228.69343352127896,g/ton,,,,,,,,,2022
80,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     NOx,368.03407620474854,g/ton,,,,,,,,,2022
81,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM10,26.224362224813916,g/ton,,,,,,,,,2022
82,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM2.5,24.412749016223046,g/ton,,,,,,,,,2022
83,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     SOx,56.67456484506082,g/ton,,,,,,,,,2022
84,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     BC,2.025344629011474,g/ton,,,,,,,,,2022
85,Coproduct Credits,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     OC,7.153401788489005,g/ton,,,,,,,,,2022
86,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,Energy demand,,,,,,,,,,,2022
87,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Total energy,63118.17252090607,mmBtu/kg,using placeholder diethanolamine,,,,,,,,2022
88,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Fossil fuels,61092.141088683595,mmBtu/kg,,,,,,,,,2022
89,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Coal,3446.1514234900887,mmBtu/kg,,,,,,,,,2022
90,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Natural gas,54087.08997318511,mmBtu/kg,,,,,,,,,2022
91,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Petroleum,3558.8996920083937,mmBtu/kg,,,,,,,,,2022
92,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,Water consumption,1.841596209597648,mmBtu/kg,,,,,,,,,2022
93,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,"Total emissions: grams/mmBtu of fuel throughput, except as noted",Per kg of product,,,,,,,,,,2022
94,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC,1.554755788306392,g/kg,,,,,,,,,2022
95,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO,2.325175057832688,g/kg,,,,,,,,,2022
96,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     NOx,2.37089654009001,g/kg,,,,,,,,,2022
97,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM10,0.162205399415984,g/kg,,,,,,,,,2022
98,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM2.5,0.12564456786316416,g/kg,,,,,,,,,2022
99,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     SOx,1.0024671553281843,g/kg,,,,,,,,,2022
100,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     BC,0.013277447299330109,g/kg,,,,,,,,,2022
101,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     OC,0.04246923512610396,g/kg,,,,,,,,,2022
102,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CH4,11.430134964912938,g/kg,,,,,,,,,2022
