,Item,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Year
51,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Feed,Urban BC,0.0,g/lb,,,,,2021
52,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Feed,Urban OC,0.0,g/lb,,,,,2021
53,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Total energy,12438.0,Btu/lb,,,,,2021
54,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Fossil fuels,12129.0,Btu/lb,,,,,2021
55,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Coal,1137.0,Btu/lb,,,,,2021
56,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Natural gas,5695.0,Btu/lb,,,,,2021
57,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Petroleum,5297.0,Btu/lb,,,,,2021
58,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Water consumption,0.0,gallon/lb,,,,,2021
59,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,VOC,0.089,g/lb,,,,,2021
60,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,CO,0.667,g/lb,,,,,2021
61,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,NOx,2.372,g/lb,,,,,2021
62,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,PM10,0.192,g/lb,,,,,2021
63,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,PM2.5,0.023,g/lb,,,,,2021
64,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,SOx,2.921,g/lb,,,,,2021
65,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,BC,0.0,g/lb,,,,,2021
66,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,OC,0.0,g/lb,,,,,2021
67,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,CH4,2.314,g/lb,,,,,2021
68,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,N2O,0.004,g/lb,,,,,2021
69,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,CO2,915.0,g/lb,,,,,2021
70,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban VOC,0.022,g/lb,,,,,2021
71,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban CO,0.066,g/lb,,,,,2021
72,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban NOx,0.195,g/lb,,,,,2021
73,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban PM10,0.008,g/lb,,,,,2021
74,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban PM2.5,0.006,g/lb,,,,,2021
75,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban SOx,0.073,g/lb,,,,,2021
76,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban BC,0.0,g/lb,,,,,2021
77,Coproducts,Acetone,Acetone,EtOH,displacement,Acetone-Fuel,Urban OC,0.0,g/lb,,,,,2021
78,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,Energy Use: mmBtu/ton of product,0.0,,,,,,2021
79,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Total Energy,88.85132969268614,mmBtu/ton,,,,,2021
80,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Fossil Fuels,88.86521111052464,mmBtu/ton,,,,,2021
81,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Coal,-0.024571660163605444,mmBtu/ton,,,,,2021
82,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Natural Gas,85.74078734187667,mmBtu/ton,,,,,2021
83,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     Petroleum,3.148995428811568,mmBtu/ton,,,,,2021
84,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,"Water consumption, gallons/ton",2657.4029738880636,gallon/ton,,,,,2021
85,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,Total Emissions: grams/ton,0.0,,,,,,2021
86,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     VOC,2920.6484211398447,g/ton,,,,,2021
87,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO,4472.49477315568,g/ton,,,,,2021
88,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     NOx,33075.826210446714,g/ton,,,,,2021
89,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM10,283.678365679408,g/ton,,,,,2021
90,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM2.5,266.78075469053886,g/ton,,,,,2021
91,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     SOx,1681.1090746992627,g/ton,,,,,2021
92,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     BC,37.88381034325254,g/ton,,,,,2021
93,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     OC,98.42930847804406,g/ton,,,,,2021
94,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CH4,20250.44615117459,g/ton,,,,,2021
95,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     N2O,15818.813875630794,g/ton,,,,,2021
96,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO2,3780350.7094594357,g/ton,,,,,2021
97,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO2 (w/ C in VOC & CO),3796481.6031107567,g/ton,,,,,2021
98,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     GHGs (grams/ton),8718481.086462967,g/ton,,,,,2021
99,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,Urban Emissions: grams/ton,0.0,,,,,,2021
