"This correspondence file maps biofuel pathway name, feedstock, and biofuel flow name to the fossil fuel its targetted to replace",,,
,,,
,,,
Case/Scenario,Biofuel Stream_LCA,Feedstock,Replaced Fuel
"Biopower: 80% coal, w/ BECCS, 650 MWe",Stationary Use: U.S. Mix,Poplar,Stationary Use: U.S. Mix
"Biopower: 80% coal, w/o BECCS, 650 MWe",Stationary Use: U.S. Mix,"Coal to Power Plants, IGCC turbine",Stationary Use: U.S. Mix
"Biopower: 80% coal, w/o BECCS, 650 MWe",Stationary Use: U.S. Mix,Poplar,Stationary Use: U.S. Mix
"Biopower: cofiring with coal, at 49%, w/o BECCS",Stationary Use: U.S. Mix,"Coal to Power Plants, IGCC turbine",Stationary Use: U.S. Mix
"Biopower: cofiring with coal, at 49%, w/o BECCS",Stationary Use: U.S. Mix,Poplar,Stationary Use: U.S. Mix
Cellulosic Ethanol,Renewable Gasoline,Herbaceous biomass,Motor Gasoline
Cellulosic Ethanol with Jet Upgrading,Jet Fuel,Herbaceous biomass,Jet Fuel
Cellulosic Ethanol with Jet Upgrading,Renewable Gasoline,Herbaceous biomass,Motor Gasoline
Corn stover ETJ,Jet Fuel,Corn Stover,Jet Fuel
Corn stover ETJ,Renewable Diesel,Corn Stover,Diesel
Corn stover ETJ,Renewable Gasoline,Corn Stover,Motor Gasoline
Decarb 2b: Cellulosic Ethanol to renewable gasoline and jet fuels,Jet Range,Forest Residue,Jet Fuel
Decarb 2b: Cellulosic Ethanol to renewable gasoline and jet fuels,Renewable Gasoline,Forest Residue,Motor Gasoline
Decarb 2b: Cellulosic Ethanol to renewable gasoline and jet fuels with CCS of fermentation offgas and boiler vent streams CO2,Jet Range,Forest Residue,Jet Fuel
Decarb 2b: Cellulosic Ethanol to renewable gasoline and jet fuels with CCS of fermentation offgas and boiler vent streams CO2,Renewable Gasoline,Forest Residue,Motor Gasoline
Decarb 2b: Cellulosic Ethanol to renewable gasoline and jet fuels with CCS of fermentation offgas CO2,Jet Range,Forest Residue,Jet Fuel
Decarb 2b: Cellulosic Ethanol to renewable gasoline and jet fuels with CCS of fermentation offgas CO2,Renewable Gasoline,Forest Residue,Motor Gasoline
Decarb 2b: Ex-Situ CFP,Renewable Diesel,Blended woody biomass,Diesel
Decarb 2b: Ex-Situ CFP,Renewable Gasoline,Blended woody biomass,Motor Gasoline
Decarb 2b: Ex-Situ CFP with CCS of all flue gases CO2,Renewable Diesel,Blended woody biomass,Diesel
Decarb 2b: Ex-Situ CFP with CCS of all flue gases CO2,Renewable Gasoline,Blended woody biomass,Motor Gasoline
Decarb 2b: Fischer-Tropsch SPK,Jet Range,Forest Residue,Jet Fuel
Decarb 2b: Fischer-Tropsch SPK,Naptha Range,Forest Residue,Naptha
Decarb 2b: Fischer-Tropsch SPK,Renewable Diesel,Forest Residue,Diesel
Decarb 2b: Fischer-Tropsch SPK with CCS of all flue gases CO2,Jet Range,Forest Residue,Jet Fuel
Decarb 2b: Fischer-Tropsch SPK with CCS of all flue gases CO2,Naptha Range,Forest Residue,Naptha
Decarb 2b: Fischer-Tropsch SPK with CCS of all flue gases CO2,Renewable Diesel,Forest Residue,Diesel
Decarb 2b: Fischer-Tropsch SPK with CCS of FT flue gas CO2,Jet Range,Forest Residue,Jet Fuel
Decarb 2b: Fischer-Tropsch SPK with CCS of FT flue gas CO2,Naptha Range,Forest Residue,Naptha
Decarb 2b: Fischer-Tropsch SPK with CCS of FT flue gas CO2,Renewable Diesel,Forest Residue,Diesel
Dry Mill (Corn) ETJ,Jet Fuel,Corn grain (Dry),Jet Fuel
